movie_id,title,genres,original_language,overview,production_companies,release_date,runtime,vote_average,vote_count,credits,keywords,poster_path
23,65,Science Fiction-Adventure-Thriller-Action,en,65 million years ago the only 2 survivors of a spaceship from Somaris that crash-landed on Earth must fend off dinosaurs and reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.,Raimi Productions-Beck/Woods-Bron Studios-Columbia Pictures,02-03-2023,93,6.299,797,Adam Driver-Ariana Greenblatt-Chloe Coleman-Nika King-Brian Dare,monster-asteroid-cave-giant monster-dinosaur-quicksand-crash landing-alien race-sick child-prehistoric adventure-prehistoric times-shipwrecked-prehistory-man vs nature-father daughter relationship-alien spaceship,https://image.tmdb.org/t/p/w500/rzRb63TldOKdKydCvWJM8B6EkPM.jpg
24,Shotgun Wedding,Action-Romance-Comedy,en,Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage â€œâ€™Til Death Do Us Partâ€ takes on a whole new meaning in this hilarious adrenaline-fueled adventure as Darcy and Tom must save their loved onesâ€”if they donâ€™t kill each other first.,Lionsgate-Mandeville Films-Nuyorican Productions-Maximum Effort,28-12-2022,101,6.334,618,Jennifer Lopez-Josh Duhamel-Jennifer Coolidge-SÃ´nia Braga-Lenny Kravitz-D'Arcy Carden-Cheech Marin-Selena Tan-Desmin Borges-Pancho Cardena-Alex Mallari Jr.-Callie Hernandez-Steve Coulter-Ramin Razmjoo-Tharoth Sam-Worapojd Thautanon-Zachary Wood-Vladimir Acevedo-Powpong Kopholrat-HÃ©ctor AnÃ­bal-Asia Munma-Ray Raymundo-Iana Ramirez,wedding-hostage situation,https://image.tmdb.org/t/p/w500/t79ozwWnwekO0ADIzsFP1E5SkvR.jpg
25,M3GAN,Science Fiction-Horror-Comedy,en,A brilliant toy company roboticist uses artificial intelligence to develop M3GAN a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well she becomes overprotective of her new friend with terrifying results.,Atomic Monster-Blumhouse Productions-Divide / Conquer-Universal Pictures,28-12-2022,102,7.423,2113,Allison Williams-Violet McGraw-Jenna Davis-Amie Donald-Jen Van Epps-Brian Jordan Alvarez-Ronny Chieng-Stephane Garneau-Monten-Michael Saccente-Arlo Green-Kira Josephson-Jack Cassidy-Chelsie Preston Crayford-Lori Dungey-Millen Baird,evil doll-aunt niece relationship-orphan-car accident-niece-juvenile delinquent-information leak-dead dog-nosy neighbor-hit by a car-dead parents-attacked by a dog-possessed doll,https://image.tmdb.org/t/p/w500/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg
26,Cocaine Bear,Thriller-Comedy,en,Inspired by a true story an oddball group of cops criminals tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.,Universal Pictures-Brownstone Productions-Lord Miller Productions,22-02-2023,95,6.664,290,Keri Russell-Alden Ehrenreich-O'Shea Jackson Jr.-Ray Liotta-Kristofer Hivju-Margo Martindale-Christian Convery-Isiah Whitlock Jr.-Jesse Tyler Ferguson-Brooklynn Prince-Kahyun Kim-Scott Seiss-Ayoola Smart-Aaron Holliday-Conor Lambert-Shane Connellan-J.B. Moore-Leo Hanna-OisÃ­n Nolan-Christopher Livingston-Matthew Rhys-Chloe Harris-Hannah Hoekstra-Paul Reubens,cocaine-georgia-animal attack-rampage-duringcreditsstinger-inspired by true story-black bear-apex predator,https://image.tmdb.org/t/p/w500/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg
27,The Forbidden Legend: Sex & Chopsticks 2,Comedy-Drama-Romance,cn,Rich and powerful Simon Qing has been schooled in the ways of sex by his virile father but is still a virgin. That is until he meets his first love Violetta who has fun with him all over his fatherâ€™s estate. Their love does not last so Simon embarks on a journey. Along the way he meets the comely nun Moon whom Simon deflowers and then marries. He then becomes enamored of Golden Lotus but she is married to dwarf Wu Da-Lang.,Universal Media Studios-Twin Co. Ltd.-My Way Film Company,04-03-2009,93,6,63,Wai Kin Lam-Serina Hayakawa-Kaera Uehara-Winnie Leung-Hikaru Wakana-Lee Kin-Yan-Tam Kon-Chung-Samuel Leung Cheuk-Moon-Frankie Ng,sexual humor-adult,https://image.tmdb.org/t/p/w500/A1yymig7S0FTWv9cTtOwdI1cH5V.jpg
28,Transfusion,Crime-Thriller-Drama,en,Ryan Logan a former Special Forces operative is battling to cope with life after the loss of his wife.  He is thrusted into the criminal underworld to keep his only son from being taken from him.,Deeper Water Films-Madman Entertainment-Altitude Media,05-01-2023,105,6.602,127,Sam Worthington-Matt Nable-Phoebe Tonkin-Edward Carmody-Susie Porter-Jeremy Lindsay Taylor-Sam Parsonson-Sam Cotton-George Houvardas-Damien Strouthos-Brad McMurray-Julian Maroun-Alex Malone-Trystan Go-Alison McGirr-Darius Williams-Mike Duncan-Gilbert Bradman-Rachel Biazzo-Ethan Puse-Christopher Stollery-Damian de Montemas-Jessica Napier-Aaron Nable,loss of loved one-criminal underworld-special forces-coping mechanisms,https://image.tmdb.org/t/p/w500/bxh5xCCW9Ynfg6EZJWUkc1zqTnr.jpg
29,Berlin Drifters,Drama,ja,"KÃ´ichi is a Japanese man living alone in Berlin. He has no job and hardly any friends. One night KÃ´ichi meets Ryota at a bar which is also a sex club. Ryota came to Berlin to visit a German guy whom he had ""met"" on a dating app. His high hopes for romance (and marriage?) were quickly crushed since the German was only interested in sex not even letting Ryota stay for the night. That is why Ryota ended up spending the night in the dark room of the sex club. KÃ´ichi for some reason lets Ryota stay at his apartment. They have sex. Ryota goes out almost everyday to get laid by various local men and comes home to KÃ´ichi's. Increasingly caught up with a strange feeling that is akin to but not quite frustration or curiosity (needless to say it is not even close to love) KÃ´ichi gradually gives himself up to sex with Ryota.",JÃ¼rgen BrÃ¼ning Filmproduktion-Habakari Cinema,10-09-2017,123,5,9,Lyota Majima-KÃ´ichi Imaizumi-Mioo SatÃ´-Michael Selvaggio-Claude Kolz-Toby Ashraf-Christian Slaughter-Lupus-Bishop Black-Florian Hagen-Wieland Speck-JÃ¼rgen BrÃ¼ning-Mitsuaki Kishida-Mischka Kral-IkkÃ´ Masuda-Jochen Werner,gay erotica,https://image.tmdb.org/t/p/w500/aH0yHU915NibzznpB2Zks2c6Z9O.jpg
30,There Are No Saints,Action,en,A man is imprisoned for a crime he didn't commit. When his wife is murdered and his son kidnapped and taken to Mexico he devises an elaborate and dangerous plan to rescue his son and avenge the murder.,Open Window Productions-BN Films-Itaca Films-Itaca Films,27-05-2022,105,5.6,51,JosÃ© MarÃ­a YÃ¡zpik-Shannyn Sossamon-Tommy Flanagan-Ron Perlman-Karla Souza-Tim Roth-Paz Vega-Neal McDonough-Keidrich Sellati-Gary Carlos Cervantes-Brian Glanney-Rachel Noll James-Vincent Rivera-Kristyan Ferrer-Leticia Fabian-Jeff McNeal-Del Zamora-NatÃ¡lia Subtil-Renzo Lewis-Gabriel Santoyo-Vincent Rivera-Ãlex Perea-Arnulfo Reyes Sanchez,prison-mexico-kidnapping-murder-rescue-innocent-avenge,https://image.tmdb.org/t/p/w500/fcOTYArjKuAgufwHoTvx8w9UKCv.jpg
31,Black Adam,Action-Fantasy-Science Fiction,en,Nearly 5000 years after he was bestowed with the almighty powers of the Egyptian godsâ€”and imprisoned just as quicklyâ€”Black Adam is freed from his earthly tomb ready to unleash his unique form of justice on the modern world.,New Line Cinema-Flynn Picture Company-DC Films-Seven Bucks Productions,19-10-2022,125,7.137,4391,Dwayne Johnson-Aldis Hodge-Noah Centineo-Sarah Shahi-Quintessa Swindell-Marwan Kenzari-Mo Amer-Bodhi Sabongui-Pierce Brosnan-James Cusati-Moyer-Jalon Christian-Benjamin Patterson-Odelya Halevi-Uli Latukefu-Jennifer Holland-Henry Winkler-Chaim Jeraffi-Sharon Gee-Stephan Jones-A. Manuel Miranda-Djimon Hounsou-Raj Kala-E. Lloyd Napier-Kiara Rashawn-Onye Eme-Akwari-Sanna Erica-Vince Canlas-Tonea Stewart-Meghna Nagarajan-Patrick Sabongui-Alex Parkinson-Joseph Gatt-Kamen Casey-Dennis Dawson-Mike Senior-Jermaine Rivers-Regina Ting Chen-Sekou Laidlow-Cameron Moir-Donny Carrington-Boone Platt-Philip Fornah-Derek Russo-Angel Rosario Jr.-Tang Nguyen-Christopher Matthew Cook-Natasha Ellie-Daniel Danca-Yssa Mei Panganiban-Ben Jenkin-Viola Davis-Henry Cavill-Natalie Burn-Maurice T. Johnson-Tre Ryan,lightning-anti hero-superhero-based on comic-demon-superhero team-duringcreditsstinger-dc extended universe (dceu),https://image.tmdb.org/t/p/w500/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg
32,Padre no hay mÃ¡s que uno 3,Comedy-Family,es,Christmas is coming. The children accidentally break a Nativity scene figurine from their father's collection and must by all means get an equal one the problem is that it is a unique antique piece. Sara the eldest daughter breaks up with her boyfriend Ocho who will try to recover her favors with the help of her father-in-law Javier. Precisely Javier's father-in-law Marisa's father will be welcomed into the family home to spend the holidays after her recent separation which will not leave Javier's mother Milagros indifferent. RocÃ­o the folklore of the family who has been playing the Virgin for several Christmases is relegated this year to playing the shepherdess something that her father Javier is not willing to assume.,Atresmedia-Bowfinger,15-07-2022,-,8.5,2,Santiago Segura-Toni Acosta-Martina Dâ€™Antiochia-Calma Segura-Luna Fulgencio-Carlos G. MorollÃ³n-Sirena Segura-Loles LeÃ³n-Leo Harlem-Silvia Abril-El Cejas-Carlos Iglesias,-,https://image.tmdb.org/t/p/w500/rmFURMXlphmrGr8gItXkuHqg43G.jpg
33,The Nights Belong to Monsters,Fantasy-Drama,es,Sol a 17-year-old teenager moves with her mother to the Gonzalo's home the actual mother's boyfriend. In this town where from the beginning Sol only finds hostility she must face bullying from her schoolmates and Gonzalo's harassment. While wandering the streets trying to find a way out Sol meet a mysterious and magical female dog with whom she establish a symbiotic relationship. It be this dog the one that violently and surprisingly always appear to defend Sol until the last consequences.,Rispo Films-Tieless Media,09-10-2021,96,2,1,Lu Grasso-Esteban Lamothe-JazmÃ­n Stuart-Gustavo GarzÃ³n-Agustin Daulte-Macarena SuÃ¡rez Dagliano-Majo Chicar-Laura Grandinetti-Nico GarcÃ­a-Ignacio Quesada,-,https://image.tmdb.org/t/p/w500/cYNfI1WHxMm0JhCXEX9qUUOv8C3.jpg
34,JUNG_E,Science Fiction-Action-Adventure,ko,On an uninhabitable 22nd-century Earth the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.,Climax Studios,20-01-2023,98,6.301,370,Kang Soo-youn-Kim Hyun-joo-Ryu Kyung-soo-Uhm Ji-won-Lee Dong-hee-Han Woo-yeol-Lee Ga-kyung-Shin Min-jae-Kim Sun-hyuk-Lee Hyun-kyun-Park So-yi-Lee Seung-chan-Kim Tae-joon-Do Yong-gu-Hong Seok-bin-Jun Jung-il-Son Young-soon-Cha Young-ju-Cha Hee-Park So-eul,artificial intelligence-clone-future-mercenary-dystopia-robot-22nd century-war,https://image.tmdb.org/t/p/w500/z2nfRxZCGFgAnVhb9pZO87TyTX5.jpg
35,The Whale,Drama,en,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,A24-Protozoa Pictures,09-12-2022,117,8.043,1559,Brendan Fraser-Sadie Sink-Hong Chau-Ty Simpkins-Samantha Morton-Sathya Sridharan-Jacey Sink-Wilhelm Schalaudek,nurse-missionary-regret-idaho-addiction-grief-obesity-based on play or musical-neighbor-teacher-religion-redemption-death of lover-election-rebellious daughter-guilt-death-lgbt-sister-in-law-eating disorder-father daughter reunion-empathy-shame-english teacher-abandonment-one location-father daughter relationship-2010s-fatphobia-apartment-2016-essay-food addiction-religious symbolism,https://image.tmdb.org/t/p/w500/jQ0gylJMxWSL490sy0RrPj1Lj7e.jpg
36,Fast X,Action-Crime-Thriller-Mystery,en,Over many missions and against impossible odds Dom Toretto and his family have outsmarted out-nerved and outdriven every foe in their path. Now they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge and who is determined to shatter this family and destroy everythingâ€”and everyoneâ€”that Dom loves forever.,Universal Pictures-Original Film-One Race-Perfect Storm Entertainment,17-05-2023,142,0,0,Vin Diesel-Michelle Rodriguez-Tyrese Gibson-Ludacris-Jason Momoa-Nathalie Emmanuel-Jordana Brewster-John Cena-Jason Statham-Sung Kang-Alan Ritchson-Daniela Melchior-Scott Eastwood-Helen Mirren-Charlize Theron-Brie Larson-Rita Moreno-Leo A. Perry-Luis Da Silva Jr.-Michael Rooker-Don Omar-Tego Calderon-Joaquim de Almeida-Gal Gadot-Ludmilla-Meadow Walker,sequel-racing-family,https://image.tmdb.org/t/p/w500/jwMMQR69Xz9AYtX4u2uYJgfAAev.jpg
37,Bar Fight,Comedy,en,Nina and Allen split everything in their lives 50/50 after their break-up to avoid any dramaâ€”everything that is except for their favorite local bar. Nina and Allen must compete in a ridiculous tavern-style custody battle for their prized watering hole in which lines will be drawn sides will be chosen and beers will be drunken.,-,11-11-2022,84,7.3,18,Melissa Fumero-Luka Jones-Rachel Bloom-Julian Gant-Dot-Marie Jones-Vik Sahay,-,https://image.tmdb.org/t/p/w500/wz3LJM9tVUgatlS1WhedZRju1ON.jpg
38,The Trip 6,Comedy,es,The last year High School excursion is the walk where anything can happen but the last year High School excursion with the parents that is the last straw. And since Ãlvaro CastaÃ±o knows that security is better than the police he decides to travel with his family to watch over his daughter Sarita however his mother-in-law Raquel is not willing to allow it and also embarks in the plan . On the paradisiacal beaches of San AndrÃ©s Ãlvaro CastaÃ±o will become Sara's nightmare and the sensation for the excursion while his sexy mother-in-law of him will be the one to steal the show. El Paseo 6 the last yeat High School excursion because the luck of the grandmother the High School girls wish it.,Caracol TelevisiÃ³n-Dago GarcÃ­a Producciones,25-12-2021,97,7,44,Amparo Grisales-Cecilia Navia-Jhon Ãlex Toro-Michell Orozco-CristiÃ¡n David Duque-AndrÃ©s de la Mora-Rafaella ChÃ¡vez-Armando OrtÃ­z,mother-in-law-grandmother-excursion-comedy-paradise beaches,https://image.tmdb.org/t/p/w500/5vSFW0rxMDZg8j5cr0JICBDSrGM.jpg
39,Devotion,War-History-Drama,en,The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,Black Label Media-STX Entertainment-Columbia Pictures-Stage 6 Films,23-11-2022,139,7.4,346,Jonathan Majors-Glen Powell-Christina Jackson-Thomas Sadoski-Daren Kagasoff-Joe Jonas-Spencer Neville-Nick Hargrove-Boone Platt-Dean Denton-Thad Luckinbill-Joseph Cross-Serinda Swan-Matt Riedy-Logan Macrae-Kenneth Trujillo-Adetinpo Thomas-Emily Brinks-Aleks Alifirenko Jr.-Elizabeth Harlow-Buddy Watkins-Joshua Whichard-Erik Bello-Darin Toonder-Christie McLendon-Hadije Aliu-Arianna Rosario-Scott Andersen-Akhil Jackson-Samuel Roberts-Grant Henley-Donna Fishman-Michael P. Walker-Victor Zheng-Percy Bell-Julie Kessler-Thomas Bekkers-Isaac March-BettyLynn Allison-Hunter Gray-Daniel GarcÃ­a-Jack Friddle-Cedar Moore-Michael David Anderson-Todd Brown-Chris Davidovicz-Jeff Burhans-Stephanie Ehatt-Sandy Burhans-John King-Ava Michelle Thompson-Zach Catanzareti-Alexander Goldstein,korean war-aftercreditsstinger-duringcreditsstinger,https://image.tmdb.org/t/p/w500/lwybGlEEJtXZM3ynY19PNwNlPn9.jpg
40,Alien Sniperess,Action-Science Fiction-Fantasy,en,A female sniper on military leave promises to fulfill her fiancÃ©â€™s dying wish until she encounters a hostile alien invasion and is tasked with saving countless lives.,Paradox Universe-Green Apple Productions,08-04-2022,94,3.9,13,Olivia Okoro-Sean Laguna-Douglas Savage-Bourke Floyd-Sean J. Dillingham-Mark Speno-Alaina Laethem-Camille Kerber-Dan Weisgerber,-,https://image.tmdb.org/t/p/w500/bI1ZDRkerXrcaFa5kWjEMw80aqE.jpg
41,Dark Blood,Crime-Drama,en,A father is imprisoned after committing a brutal revenge crime. During his confinement he must adapt to a new life of abuse including injury and humiliation by guards and other prisoners.,-,05-09-2021,83,4.9,7,John Leguizamo-Adriana Barraza-Ramiro Meneses-HernÃ¡n MÃ©ndez-Ãlvaro RodrÃ­guez-MarÃ­a Nela Sinisterra,-,https://image.tmdb.org/t/p/w500/v78bAY02eCUv7lkpEpOVlRkqZDJ.jpg
42,We Have a Ghost,Fantasy-Family-Comedy-Adventure,en,After Kevin finds a ghost named Ernest haunting his new home he becomes an overnight social media sensation. But when Kevin and Ernest go rogue to investigate the mystery of the latter's past they become targets of the CIA.,Temple Hill Entertainment,24-02-2023,127,6.587,208,David Harbour-Jahi Di'Allo Winston-Anthony Mackie-Erica Ash-Niles Fitch-Isabella Russo-Tig Notaro-Tom Bower-Sean Boyd-Nicholas X. Parsons-Steve Coulter-Scott A. Martin-Jennifer Coolidge-Peggy Walton-Walker-Sherri Eakin-Faith Ford-Yoshio Maki-Sarah Voigt-Jophielle Love-Merah Benoit-April McCullough-Gabriel Sky-Taylor Shurte-Sarah Durn-Ariel Yasmine-Bob the Drag Queen-Major Dodge Jr.,cia-haunted house-ghost-social media,https://image.tmdb.org/t/p/w500/xo0fgAUoEeVQ7KsKeMWypyglvnf.jpg
43,Roald Dahl's Matilda the Musical,Family-Comedy-Fantasy,en,An extraordinary young girl discovers her superpower and summons the remarkable courage against all odds to help others change their stories whilst also taking charge of her own destiny. Standing up for what's right she's met with miraculous results.,Working Title Films-The Roald Dahl Story Company,25-11-2022,117,6.917,496,Alisha Weir-Emma Thompson-Lashana Lynch-Stephen Graham-Andrea Riseborough-Sindhu Vee-Charlie Hodson-Prior-Meesha Garbett-Rei Yamauchi Fulker-Ashton Robertson-Winter Jarrett Glasspool-Andrei Shen-Carl Spencer-Lauren Alexandra-Katherine Kingsley-Amber Adeyinka-James Laurenson-Ann Firbank-Amanda Lawrence-Thomas Arnold-James Dryden-Matt Henry-Karen Mavundukure-Tia Isaac-Ella Chadwick-Erin Rushidi-Rudy Gibson-Isa Islam-Joshua Moabi-Poppy Caton-Ian McIntosh-Kirsty Malpass-Tim Bentinck-Charlie Gordon-Lauren Hasselbaink-Dylan Duharty-Olivia Thomas-Isla Brill-Demi Delord-Miah Hasselbaink-Charlie Beeton-Daniel Bill-Serrana Su-Ling Bliss-Toby Brandon-Olivia Clark-Atalia Mai Cornelia-Imogen Darwen-Hannah Deverell-Myka Holland-Noah Leggott-Bebe Massey-Chloe Muldowney-Sara Munday-Elizabeth Nurdin-Lyla Toplass-Leon Ung-Scarlett Weegram-Poppy Whittaker-Rochelle Wyatt-Yasmin Boys,circus-library-corruption-child abuse-magic-musical-telekinesis-child prodigy-remake-based on play or musical-parenting-based on children's book-fantasy sequence-escape artist-precocious child-evil dictator-acrobats-bad parenting-female child abuser-kid genius-abusive family,https://image.tmdb.org/t/p/w500/ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg
44,Unicorn Wars,Action-Animation-Comedy-Fantasy-Horror-War,es,An army of bear cubs train and indoctrinate young recruits for the war against the unicorns which threatens the safety of the cubs. Brothers Bluet and Tubby along with a group of inexperienced cadets are sent on a dangerous mission to save the Magic Forest where the unicorns live and start a terrible battle.,UniKo-Schmuby Productions-Autour de Minuit-Panique!-Abano Productions,21-10-2022,92,6.4,23,Jon Goiri-Jaione Insausti-RamÃ³n Barea-Txema Regalado-Manu Heras-Gaizka Soria-Iker Diaz-EstÃ­valiz LizÃ¡rraga-Pedro Arrieta-Alberto VÃ¡zquez-Rosa MarÃ­a Romay-AntÃ³n Palomar-Alberto Escobal GarcÃ­a-Kepa Cueto-Juan Carlos Loriz-Eduardo GorriÃ±o-Josu Varela-Ãlvaro SÃ¡nchez-Maribel Legarreta-Itxaso Quintana-Eba Ojanguren-Pilar Ferrero-FÃ¡tima Casado,gore-bear-unicorn-war-animation,https://image.tmdb.org/t/p/w500/8KBj11zBaRdhoeq1q9jcAwKmDSk.jpg
45,Troll,Fantasy-Action-Adventure-Thriller,no,Deep inside the mountain of Dovre something gigantic awakens after being trapped for a thousand years. Destroying everything in its path the creature is fast approaching the capital of Norway. But how do you stop something you thought only existed in Norwegian folklore?,Motion Blur,01-12-2022,104,6.736,1254,Ine Marie Wilmann-Kim S. Falck-JÃ¸rgensen-Mads SjÃ¸gÃ¥rd Pettersen-Gard B. Eidsvold-Anneke von der Lippe-Dennis StorhÃ¸i-Karoline Viktoria Sletteng Garvang-Yusuf Toosh Ibra-Bjarne Hjelde-Ameli Olving SÃ¦levik-Jon Ketil Johnsen-Duc Paul Mai-The-Ingrid Vollan-Trond Magnum-PÃ¥l Richard Lunderby-PÃ¥l Anders Nordvi-Eric Vorenholt-Hugo Mikal SkÃ¥r-Veronica Sinclair-Gard Fartein LÃ¸kke Goli-Kohinoor Nordberg-Axel BarÃ¸ Aasen-Kyrre EikÃ¥s Ottersen-Bob Heide-Stine Neerland Hartviksen-Paal Herman Ims-Kasper Antonsen-Espen Aukan-Paul Kirby-Laura Lee Dubois-Peter Dubois-Chiaki Nishijima-Ingvild Bryn-Tom Nilssen-Nicolai Robinot Bodd-Carmen Gloria PÃ©rez-Jessica Lauren Taylor-Neil Howard-Christina Askeland-Billy Campbell,mountain-mythical creature-creature-norwegian folklore,https://image.tmdb.org/t/p/w500/9z4jRr43JdtU66P0iy8h18OyLql.jpg
46,Prey for the Devil,Horror-Thriller,en,In response to a global rise in demonic possessions the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield an unlikely warrior rises: a young nun Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.,Lionsgate-Gold Circle Films-Confluence Productions,23-10-2022,93,7.209,544,Jacqueline Byers-Colin Salmon-Christian Navarro-Lisa Palfrey-Nicholas Ralph-Ben Cross-Virginia Madsen-Tom Forbes-Velizar Binev-Owen Davis-Debora Zhecheva-Cora Kirk-Posy Taylor-Elizabeth Gibson,nun-exorcism-catholic church-demonic possession,https://image.tmdb.org/t/p/w500/iCvgemXf2Kpr2LvpDmt5J9NhjKM.jpg
47,Choose or Die,Horror-Thriller-Science Fiction,en,In pursuit of an unclaimed $125000 prize a broke college dropout decides to play an obscure 1980s survival computer game. But the game curses her and sheâ€™s faced with dangerous choices and reality-warping challenges. After a series of unexpectedly terrifying moments she realizes sheâ€™s no longer playing for the money but for her life.,Stigma Films-Anton,15-04-2022,85,5.371,577,Iola Evans-Asa Butterfield-Robert Englund-Angela Griffin-Ryan Gage-Eddie Marsan-Kate Fleetwood-Joe Bolland-Ioanna Kimbook-Silvana Montoya-Kayleen Aires Fonseca-Caroline Loncq-Pete MacHale-Delroy Atkinson,video game-computer-prize-tech noir-quest-1980s-cursed,https://image.tmdb.org/t/p/w500/jEYE5BPFd5FuPa1judcjpW6xqKp.jpg
48,Venus,Drama-Horror-Thriller,es,LucÃ­a a club dancer on the run takes refuge in a sinister building on the outskirts of Madrid where her sister RocÃ­o lives with her daughter Alba.,Pokeepsie Films,02-12-2022,101,5.602,64,Ester ExpÃ³sito-Ãngela Cremonte-InÃ©s FernÃ¡ndez-MagÃ¼i Mira-Aten Soria-MarÃ­a JosÃ© Sarrate-SofÃ­a Reyes-Fernando Valdivielso-Federico Aguado-Francisco Boira-Pedro Bachura-Alejandra Meco-RocÃ­o AndrÃ©s Riber-Said Taibi-Sonsoles Benedicto-Lourdes Llamas-Nany Reyes-Claudia Apolonia-Pedro Piqueras,sibling relationship-madrid spain-go-go dancer-solar eclipse-apartment building-old building-estranged sister-mother daughter relationship-sister sister relationship-outskirts,https://image.tmdb.org/t/p/w500/yGpJbft7JQpQHHHasRr4wWdVcuJ.jpg
49,Blood,Thriller-Horror,en,Jess a newly separated mother and nurse moves into her old family farmhouse with Tyler her teenage daughter and Owen her eight-year-old son. One night the family dog senses something in the woods and runs off to find it. He returns a couple of days later and attacks Owen savagely biting him before Jess is able to intervene. Owen is rushed to the hospital. His condition worsens and no one can figure out why... until Jess discovers a disturbing cure...,H2L Media Group-Rhea Films,12-01-2023,108,5.9,40,Michelle Monaghan-Skeet Ulrich-Finlay Wojtak-Hissong-Skylar Morgan Jones-June B. Wilde-Erik Athavale-Onalee Ames-Danika Frederick-Jerni Stewart-Jennifer Rose Garcia-Cheryl Gensiorek-Michael Strickland-Cindy Myskiw-Rodrigo Beilfuss,country house-forest-hospital-dog-divorcee-sick child-child of divorce-divorced couple-hollow tree-drinking blood-recovering drug addict,https://image.tmdb.org/t/p/w500/gCUFtTvjK4gbmjVxhx8bhyOhAeW.jpg
50,Super Mario Brothers: Great Mission to Rescue Princess Peach,Animation-Comedy-Fantasy,ja,When Princess Peach is kidnapped by the monster King Koopa Mario and his brother Luigi journey to the Mushroom Kingdom to rescue her.,Horipro-Nintendo-Nippon Television Music Corporation-VAP-Grouper Productions-Shochiku,20-07-1986,61,6.1,16,Toru Furuya-Yu Mizushima-Mami Yamase-Akiko Wada-Yuriko Yamamoto-KÅhei Miyauchi-Shigeru Chiba-Hiroko Emori-Hiroko Maruyama-Kazue Komiya-Tetsuo Mizutori-Masaharu Sato-Keaton Yamada-Masami Kikuchi-Joji Yanami-Junko Hori,based on video game,https://image.tmdb.org/t/p/w500/d8466YAgDFZmsrWmgizPcUQMsIx.jpg
51,Candy Land,Horror-Thriller,en,Remy a seemingly naive and devout young woman finds herself cast out from her religious cult. With no place to turn she immerses herself into the underground world of truck stop sex workers. Under the watchful eye of their matriarch and an enigmatic local lawman Remy navigates between her strained belief system and the code to find her true calling in life.,Roxwell Films,06-01-2023,93,6.51,48,Eden Brolin-Olivia Luccardi-William Baldwin-Owen Campbell-Brad Carter-Virginia Rand-Guinevere Turner-Sam Quartin-Billy Blair-Bruce Davis-Mark Stephen Ward-Liz Ann Montaneli-Mark Murphy-Laevin Story-Nick HallBilsback-Nick Casa-Kendall Wind-Khyl Lorenzen-Matt Markese-Clint Patterson-Katie Lundy-Mike Brown,-,https://image.tmdb.org/t/p/w500/r7ZipEd9oHHVVXTcvbx3Sd3Tukv.jpg
52,Lecciones para canallas,Comedy-Crime,es,Fate leads young Jenny to search for her estranged father: small-time swindler Dirty Barry. Jenny believes love conquers all but Barry knows money is what makes the world go round. Let the lessons for scoundrels begin.,BDC Producciones-Canallas Films,01-09-2022,104,4.375,4,JoaquÃ­n CosÃ­o-Diana Bovio-Daniel Tovar-Danae Reynaud,-,https://image.tmdb.org/t/p/w500/AP9kVisL0Xo4GNBQVNa8qv1yLo.jpg
53,The Enforcer,Action-Thriller-Drama,es,A noir thriller set in Miami the film follows an enforcer who discovers his femme fatale boss has branched out into cyber sex trafficking putting a young runaway heâ€™s befriended at risk. He sacrifices everything to save the young girl from the deadly organization heâ€™s spent his life building.,Born to Burn Films-Millenium Media Group-Millennium Films,22-09-2022,91,7.3,248,Antonio Banderas-Kate Bosworth-Mojean Aria-Alexis Ren-Zolee Griggs-2 Chainz-Aaron Cohen-Natalie Burn-Mark Rhino Smith-Luke Bouchier-Kika Georgiou-Kostas Sommer-Christos Vasilopoulos-Vivian Milkova-Lucia McKinstry Calvo-Eleftheria Giovanaki-Giannis Zoumpandis-Nikos Thomas-Panagiotis Milas-Rhiannon Lee-Orestis Chang Faethon-Panagiotis Kapritsios-Maria Hekimian-Dave Thompson-Dimitris Efrimidis-Lennan Andruisiw-Tihomir Vinchev-Asen Asenov-Manos Gavras-Rosmary Yaneva-Ekaterini Athanasiadou,-,https://image.tmdb.org/t/p/w500/pXC8JJbfnRWtbD8i2yKFqqWEO4X.jpg
54,Avatar: Scene Deconstruction,Documentary,en,The deconstruction of the Avatar scenes and sets,-,18-12-2009,-,7.8,12,-,behind the scenes,https://image.tmdb.org/t/p/w500/uCreCQFReeF0RiIXkQypRYHwikx.jpg
